ID,Título,Precio,Clientes,Service description,Días,Servicios,IVA incluido,IVA,Sócios,Typos de facturacion,Activation fee,Get activation fee when,Issue an invoice,Contract duration,Automatic renewal,Auto reactivate,Cancellation fee,Prior cancellation fee,Change to other bundle fee,Discount period,Discount percent,Internet tariffs plans,Voice tariffs plans,Custom tariffs plans,Custom_period,Transaction category,Acciones
1,10MB+TEL,389.0000,8,10MB+TEL,,8,1,16%,Oficina PASEOSSANTA ANA,Pagos recurrentes,299.00 pesos,create service,1,18 month(s),1,1,299.0000,299.00 pesos,299.00 pesos,0 month(s),0%,Social_10Mb,Gpon_voip,,,Default for service type,
2,30+TEL+MOVIENET,520.0000,89,30+TEL+MOVIENET,,89,1,16%,Oficina PASEOSSANTA ANA,Pagos recurrentes,0.00 pesos,first service billing,0,0 month(s),1,1,0.0000,0.00 pesos,0.00 pesos,0 month(s),0%,Estudiante_30 MB,Telefonia_en_paquete,MovieNet,,Default for service type,
3,20+TEL+MOVIENET,420.0000,469,20+TEL+MOVIENET,,469,1,16%,Oficina PASEOSSANTA ANA,Pagos recurrentes,0.00 pesos,first service billing,0,6 month(s),0,1,0.0000,0.00 pesos,0.00 pesos,0 month(s),0%,Meganet_recurrente 20,Telefonia_en_paquete,MovieNet,,Default for service type,
4,5MB+TEL,309.0000,12,5MB+TEL,,12,1,16%,Oficina PASEOSSANTA ANA,Pagos recurrentes,0.00 pesos,create service,1,8 month(s),1,1,299.0000,0.00 pesos,0.00 pesos,0 month(s),0%,Conectate_5Mb,Telefonia_en_paquete,MovieNet,,Default for service type,
5,50+TEL+MOVIENET,679.0000,15,50+TEL+MOVIENET,,15,1,16%,Oficina PASEOSSANTA ANA,Pagos recurrentes,0.00 pesos,first service billing,0,0 month(s),0,0,0.0000,0.00 pesos,0.00 pesos,0 month(s),0%,Plus 50 mbps,Telefonia_en_paquete,MovieNet,,Default for service type,
6,Internet Puro 20MB,349.0000,1,Internet Puro 20MB,,1,1,16%,Oficina PASEOSSANTA ANA,Prepaid (Daily)Prepaid (Custom)Pagos recurrentes,299.00 pesos,first service billing,0,0 month(s),1,1,299.0000,299.00 pesos,299.00 pesos,0 month(s),0%,Basico_20MB,,modem,,Pago,
7,20MB+TEL+EMPLEADOS,270.0000,0,20MB+TEL+EMPLEADOS,,0,1,16%,Oficina PASEOSSANTA ANA,Prepaid (Daily)Prepaid (Custom)Pagos recurrentes,0.00 pesos,first service billing,0,0 month(s),0,0,0.0000,0.00 pesos,0.00 pesos,0 month(s),0%,20 MB + TEL EMPLEADOS,Gpon_voip,,,Default for service type,
8,50MB+TEL+EMPLEADOS,420.0000,0,50MB+TEL+EMPLEADOS,,0,1,16%,Oficina PASEOSSANTA ANA,Prepaid (Daily)Prepaid (Custom)Pagos recurrentes,0.00 pesos,first service billing,0,0 month(s),0,0,0.0000,0.00 pesos,0.00 pesos,0 month(s),0%,50MB + TEL EMPLEADOS,Gpon_voip,,,Default for service type,
9,preferentes,500.0000,0,preferentes,,0,1,16%,Oficina PASEOSSANTA ANA,Pagos recurrentes,299.00 pesos,first service billing,0,0 month(s),1,1,299.0000,299.00 pesos,299.00 pesos,0 month(s),0%,Meganet_40Mb,Telefonia_en_paquete,MovieNet,,Default for service type,
10,2,0.0000,0,2,,0,1,16%,Oficina PASEOSSANTA ANA,Prepaid (Daily)Prepaid (Custom)Pagos recurrentes,0.00 pesos,create service,0,0 month(s),0,0,0.0000,0.00 pesos,0.00 pesos,0 month(s),0%,,,,,Default for service type,
11,EXPRESS+100,769.0000,0,EXPRESS+100,,0,1,16%,Oficina PASEOSSANTA ANA,Prepaid (Daily)Prepaid (Custom)Pagos recurrentes,0.00 pesos,first service billing,0,0 month(s),1,1,299.0000,0.00 pesos,0.00 pesos,0 month(s),0%,EXPRESS + 100,Gpon_voip,Gpon_TV,,Default for service type,
