ID,Título,Precio,Velocidad de bajada (kbps),Velocidad de subida (kbps),Clientes,Cliente online,Velocidad garantizada limitada a,Agregación,Límite de Burst,Umbral de Burst,Tiempo de Burst,Prioridad,Servicios,Servicios En Linea,Nombre del servicio,Días,IVA incluido,IVA,Force_update_service_price,Force_update_service_name,Sócios,Typos de facturacion,Custom_period,Transaction category,Available when register by social network,Acciones
1,Basico_20MB,349.00,0,0,1414,608,11,0,100,100,800,normal,1414,608,Basico_20MB,,1,16,,,"Oficina , PASEOS, SANTA ANA","Prepaid (Daily), Prepaid (Custom), Pagos recurrentes",,Default for service type,0, 
5,Social_10Mb,309.00,0,0,206,119,100,10,200,200,30,normal,206,119,Social_10Mb,,1,0,,,"Oficina , PASEOS, SANTA ANA","Prepaid (Daily), Prepaid (Custom), Pagos recurrentes",,Default for service type,0, 
7,administracion,0.00,0,0,11,5,5,0,200,50,30,normal,11,5,administracion,,0,16,,,"Oficina , PASEOS, SANTA ANA","Prepaid (Daily), Prepaid (Custom), Pagos recurrentes",,Default for service type,0, 
11,Meganet_recurrente 20,349.00,0,0,505,323,5,10,200,200,60,normal,505,323,Meganet_recurrente 20,,1,16,,,"Oficina , PASEOS, SANTA ANA","Prepaid (Daily), Prepaid (Custom), Pagos recurrentes",,Servicio,0, 
12,25MB 399,399.00,0,0,12,0,2,20,200,200,30,normal,12,0,PLAN 25 399,,1,16,,,"Oficina , PASEOS, SANTA ANA","Prepaid (Daily), Prepaid (Custom), Pagos recurrentes",,Default for service type,0, 
13,Estudiante_30 MB,449.00,0,0,206,126,0,8,200,200,30,normal,206,126,Estudiante 30 MB,,1,16,,,"Oficina , PASEOS, SANTA ANA","Prepaid (Daily), Prepaid (Custom), Pagos recurrentes",,Default for service type,0, 
16,3 MBPS,249.00,1500,1500,2,1,100,20,0,200,20,normal,2,1,3 MBPS,,1,16,,,"Oficina , PASEOS, SANTA ANA","Pagos recurrentes, Prepaid (Daily), Prepaid (Custom)",,Default for service type,0, 
18,5 Mb 15 Dias,238.00,2000,2000,6,2,10,20,200,200,30,normal,6,2,5 Mb 15 Dias,,1,16,,,"Oficina , PASEOS, SANTA ANA","Prepaid (Daily), Prepaid (Custom), Pagos recurrentes",,Default for service type,0, 
20,Conectate_5Mb,209.00,0,0,245,136,10,12,500,800,800,normal,245,136,Conectate_5Mb,,1,16,,,"Oficina , PASEOS, SANTA ANA","Prepaid (Daily), Prepaid (Custom), Pagos recurrentes",,Default for service type,0, 
21,Plus 50 mbps,599.00,0,0,41,14,2,20,800,800,60,high,41,14,Plus 50 mbps,,1,16,,,"Oficina , PASEOS, SANTA ANA","Prepaid (Daily), Prepaid (Custom), Pagos recurrentes",,Default for service type,0, 
24,Meganet_40Mb,549.00,40000,8000,1,1,10,20,800,800,100,normal,1,1,Meganet_40Mb,,1,16,,,"Oficina , PASEOS, SANTA ANA","Prepaid (Daily), Prepaid (Custom), Pagos recurrentes",,Default for service type,0, 
25,EMPLEADOS,200.00,15000,10000,3,1,10,15,100,800,800,high,3,1,EMPLEADOS,,1,16,,,"Oficina , PASEOS, SANTA ANA","Prepaid (Daily), Prepaid (Custom), Pagos recurrentes",,Default for service type,0, 
26,BARATO,100.00,2000,1000,0,0,10,20,0,0,0,normal,0,0,BARATO,,1,16,,,"Oficina , PASEOS, SANTA ANA","Prepaid (Daily), Prepaid (Custom), Pagos recurrentes",,Default for service type,0, 
27,empleados 30mb,300.00,30000,10000,0,0,10,30,100,100,60,normal,0,0,empleados 30mb,,1,16,,,"Oficina , PASEOS, SANTA ANA","Prepaid (Daily), Prepaid (Custom), Pagos recurrentes",,Default for service type,0, 
28,voz,0.00,200,200,0,0,10,1,0,0,0,normal,0,0,voz,,1,16,,,"Oficina , PASEOS, SANTA ANA","Prepaid (Daily), Prepaid (Custom), Pagos recurrentes",,Default for service type,0, 
29,20 MB + TEL EMPLEADOS,270.00,20000,5000,0,0,10,1,0,0,0,normal,0,0,20 MB + TEL EMPLEADOS,,1,16,,,"Oficina , PASEOS, SANTA ANA","Prepaid (Daily), Prepaid (Custom), Pagos recurrentes",,Default for service type,0, 
30,50MB + TEL EMPLEADOS,420.00,50000,10000,0,0,10,1,0,0,0,normal,0,0,50MB + TEL EMPLEADOS,,1,16,,,"Oficina , PASEOS, SANTA ANA","Prepaid (Daily), Prepaid (Custom), Pagos recurrentes",,Default for service type,0, 
31,EXPRESS + 100,769.00,102400,10240,0,0,10,20,800,100,60,normal,0,0,EXPRESS+100,,1,16,,,"Oficina , PASEOS, SANTA ANA","Prepaid (Daily), Prepaid (Custom), Pagos recurrentes",,Default for service type,0, 
32,EXPRESS 100 PURO,649.00,102400,10240,0,0,10,20,100,100,60,normal,0,0,EXPRES100PURO,,1,16,,,"Oficina , PASEOS, SANTA ANA","Prepaid (Daily), Prepaid (Custom), Pagos recurrentes",,Default for service type,0, 
