Id,Localización,Clientes,Clientes online,Available in self-registration,Acciones
1,SECTOR 2 10.20.10.2,192,42,0,
2,SECTOR 3 AC 10.20.10.3,42,3,1,
3,SECTOR 4      10.20.10.4,32,1,0,
4,SECTOR 5   10.20.10.5,15,0,0,
5,SECTOR 6 AC  10.20.10.6,16,3,0,
6,SECTOR 7 10.20.10.7,18,0,0,
7,SECTOR 8 AC 10.20.10.8,6,1,0,
8,HDA ALACRAN 10.20.10.9,1,0,0,
11,PB PASEOS 10.20.10.12,0,0,0,
12,AIRGRID PASEOS DEL VALLE 10.20.10.13,0,0,0,
13,4TA CDA VALLE DE SAN MARTIN ED C  10.20.10.14,0,0,0,
14,2DA CDA VALLE DE ALMOLOYA ED B 10.20.10.15,1,0,0,
15,6TA CDA VALLE DE SAN FERMIN ED C 10.20.10.16,0,0,0,
16,6TA CDA VALLE DE SAN FERMIN ED D 10.20.10.18,0,0,0,
17,EP R6 10.205.0.19,0,0,,
18,1RA CDA VALLE DE SAN DAMIAN ED B 10.20.10.20,2,1,0,
19,2DA CDA VALLE DE ALMOLOYA ED C 10.205.0.94,1,0,,
20,LOCAL 10.205.0.5,0,0,,
21,FIBRA OPTICA,7,4,,
22,3RA CDA VALLE DE SAN DAMIAN ED A  10.205.0.21,2,0,,
23,CDA 2 VALLE DE ALMOLOYA ED A 10.205.0.22,1,0,,
24,S PURISIMA G2 10.205.0.36,2,0,,
25,SP ARRIBA 10.20.10.37,16,0,0,
26,SP MEDIOG2  10.20.10.35,6,1,0,
27,SP ABAJO 10.20.10.36,2,0,0,
28,TEMOAYA M5,19,6,,
29,TEMOAYA M2,2,0,,
30,EL ALACRAN M2,0,0,,
31,EL ALACRAN RAC 5,6,0,,
32,Huawei Gpon_0/0,246,123,1,
33,Huawei Gpon_0/1.,108,60,1,
34,Huawei Gpon_0/2,125,61,1,
35,Huawei Gpon_0/3,189,82,1,
36,Huawei Gpon_0/4,130,75,1,
37,Huawei Gpon_0/5,92,44,1,
38,Huawei Gpon_0/6,93,52,0,
39,Huawei Gpon_0/7,147,71,1,
40,Huawei Gpon_0/8,197,112,1,
41,Huawei Gpon_0/9,116,69,1,
42,Huawei Gpon_0/10,128,67,1,
43,Huawei Gpon_0/11,163,94,1,
44,Huawei Gpon_0/12,85,41,1,
45,Huawei Gpon_0/13,113,55,1,
46,Huawei Gpon_0/14,40,18,1,
47,Huawei Gpon_0/15,110,64,1,
48,T2P0,16,2,1,
49,Huawei Gpon_1/0,60,39,1,
50,Huawei Gpon_1/1,26,14,1,
51,Huawei Gpon_1/2,32,22,1,
52,Huawei Gpon_1/3,30,17,1,
53,Huawei Gpon_1/4,15,10,1,
54,Huawei Gpon_1/5,38,26,1,
55,Huawei Gpon_1/6,28,19,1,
56,Huawei Gpon_1/7,30,19,1,
57,Huawei Gpon_1/8,23,16,1,
58,Huawei Gpon_1/9,16,11,1,
59,Huawei Gpon_1/10,30,20,1,
60,Huawei Gpon_1/11,34,21,1,
61,Huawei Gpon_1/12,43,29,1,
62,Huawei Gpon_1/13,23,14,1,
63,Huawei Gpon_1/14,19,10,1,
64,Huawei Gpon_1/15,24,13,1,
